Index ,Product Name ,Discounted Price ,Original Price ,Review Counts ,Badge
1417,"
            Ocean Lover Bookmark |  Beach Lover Gift | Bookmark | Book Lover Gift | Avid Reader | Book Club Gift | Valentines Day | Teacher Gift
        ",18.00,18.00,"
                    (795)
                ","
    Etsy’s Pick
"
1418,"
            Office Tasks Planner Set Office Organizer Printables Work To Do List Work Schedule Employee Planner Business Meetings Work Emails Tracker
        ",2.19,8.11,"
                    (1,786)
                ",No badge
1419,"
            Cowboy Romance Book Club Bookmark | Cowboy Romance Era | Romance Reader | Book Lovers Bookmark | Cowboy Like Me Taylor Lyrics | Romance Era
        ",5.25,5.25,"
                    (4,476)
                ","
    Etsy’s Pick
"
1420,"
            Travel Book, Camping Notebook, Children Journal, Animals  Diary, Forest Book, Floral Boy Journal, Back to School, Traveling School Supplies
        ",33.08,33.08,"
                    (831)
                ","
    Etsy’s Pick
"
1421,"
            Handmade Pressed Unique Floral and Glitter Bookmarks (Made to Order) Encased in Resin
        ",9.49,9.49,"
                    (1,854)
                ","
    Etsy’s Pick
"
1422,"
            Folder, A5, A6, 2-fold ring binder, sheets, SnapPap
        ",28.23,28.23,"
                    (1,784)
                ","
    Etsy’s Pick
"
1423,"
            floral journal, writing journal, prayer journal, travel journal, lined journal, sketchbook journal, small sketchbook, cute notebooks
        ",10.00,10.00,"
                    (761)
                ","
    Etsy’s Pick
"
1424,"
            Leather Zippered B6 / B6 Slim Planner Folio - Crazy Horse Honey Ochre
        ",89.00,89.00,"
                    (2,945)
                ","
    Etsy’s Pick
"
1425,"
            Affiliate Marketing Guide ""The definitive Guide""      Ebook PDF Instant Download
        ",5.61,5.61,0,No badge
1426,"
            A Year of Dates: A Box of Date night cards, the perfect Valentines present or paper anniversary gift for him.  A romantic valentines gift
        ",37.21,37.21,"
                    (7,964)
                ","
    Etsy’s Pick
"
1427,"
            Leather Bible Cover, Engraved Bible Cover, Customized Book Cover, Monogrammed Bible Cover, Bible Case, Personalized Bible Case, Custom Cover
        ",19.97,39.95,"
                    (1,640)
                ",No badge
1428,"
            150 IFS Therapy Questions | Internal Family Systems Therapy Interventions Therapy Cheat Sheet Phrases ACT Counselor Questions Treatment Goal
        ",5.58,13.29,"
                    (243)
                ",No badge
1429,"
            2024 calendar with a planner, 2024 illustrated wall calendar A4, plants illustrations
        ",20.41,20.41,"
                    (1,253)
                ","
    Etsy’s Pick
"
1430,"
            Daily Planner Book - Personalised A5 Undated Weekly & Daily Organiser, Bloom - Gift for Her, Personalized Planner Notebook, Organiser Agenda
        ",16.75,23.92,"
                    (21,132)
                ",No badge
1431,"
            Watercolor Coloring Book - Aesthetic Cafes - Coloring Book for Watercolor - Printed Coloring Book for Adults
        ",20.21,20.21,"
                    (3)
                ","
    Etsy’s Pick
"
1432,"
            Dream Journal For Recording Dreams - A5 Format - Sleep Journal
        ",27.20,27.20,"
                    (145)
                ","
    Etsy’s Pick
"
1433,"
            Guitar Pick Holder 6 - 9 slots Personalized Leather Guitar Pick Case Distressed Leather Pick Wallet Gift for guitarist Custom Hand stitched
        ",23.92,29.90,"
                    (398)
                ",No badge
1434,"
            Watercolor Coloring Book - Interior Cozy Home - Coloring Book for Watercolor - Printed Coloring Book for Adults
        ",20.21,20.21,"
                    (3)
                ","
    Etsy’s Pick
"
1435,"
            Personalised Pressed flower bookmark. Real dried flower bookmark.
        ",19.92,19.92,"
                    (510)
                ","
    Etsy’s Pick
"
1436,"
            Floral in Red Perfect Bound A5 Notebook
        ",15.28,15.28,"
                    (963)
                ","
    Etsy’s Pick
"
1437,"
            2024 Dogs & Doodles Art Calendar | A4 Monthly Planner | Dogs and Doodles Illustrations | Colourful Art Planner | 12 Month Hanging Calendar
        ",21.93,21.93,"
                    (6,783)
                ","
    Etsy’s Pick
"
1438,"
            Personalized Greatest Dog in the World story book for kids, puppy and pet gift for children and family. Ideal   Stocking Filler
        ",28.65,35.82,"
                    (16,951)
                ",No badge
1439,"
            Personalised Wooden Adventure Journal
        ",25.92,34.56,"
                    (19,145)
                ",No badge
1440,"
            Dot grid notebook | Forest Magic | black | 128 pages | ribbon bookmark | eco friendly recycled paper | bullet pattern journal
        ",22.66,22.66,"
                    (386)
                ","
    Etsy’s Pick
"
1441,"
            Journal Insert Refills | Set of 4 Notebooks | Unlined, Lined, Dot, or Graph | 3 Sizes 4x6, 5x7 and 6x8 | Valentine's Day Gift
        ",13.00,13.00,"
                    (16,172)
                ",No badge
1442,"
            Cat Hardcover Journal, Floral Lined Paper Notebook, Cute Purple Stationery, Home Office Gift Idea, Birthday Present, Diary Writing Journal
        ",17.96,17.96,0,No badge
1443,"
            Gold Dust Woman - Journal/Diary/Notebook, Daily Journal, Daily Diary, Travel Journal, Travel Diary, Meditation Journal, Witchy Journal
        ",22.99,22.99,"
                    (9)
                ",No badge
1444,"
            Gratitude Journal, Mental Health Journalling, Self Care, Wellness Journal, Daily Goal Setting
        ",22.59,22.59,"
                    (559)
                ",No badge
1445,"
            Personalised Leather Bookmark + Photo / Father's Day Gift for Book Lovers / Personal Bookish Gift / Birthday, Christmas Stocking Filler
        ",21.27,21.27,"
                    (9,884)
                ","
    Etsy’s Pick
"
1446,"
            2024 Calendar Wallplanner Planner Pastel Aqua Turquoise Green Blue 2024 Limited Edition English + German FRAME NOT INCLUDED
        ",22.11,22.11,"
                    (1,037)
                ","
    Etsy’s Pick
"
1447,"
            Folder, A5, A6, 2 ring binder, dark brown, SnapPap
        ",22.56,22.56,"
                    (1,784)
                ","
    Etsy’s Pick
"
1448,"
            Personalised Bookmark - Wire Name Bookmark - Custom Bookmark Gift - Planner Marker - Back to School Gift - Teacher Gift - Book Lovers Gift
        ",15.95,15.95,"
                    (6,350)
                ","
    Etsy’s Pick
"
1449,"
            Wooden Recipe Book, Wooden Custom Cookbook, Mothers Day Gift, for Her
        ",11.80,19.67,"
                    (713)
                ",No badge
1450,"
            Watermelon and Hot Dogs A5 Exercise Book Set
        ",9.97,9.97,"
                    (1,854)
                ","
    Etsy’s Pick
"
1451,"
            Leather Leaf Bookmark - Recycled Materials · Handmade Leather Book Accessories · Unique Botanical Gift Ideas For A Reader · Made In Canada
        ",13.91,13.91,"
                    (2,922)
                ","
    Etsy’s Pick
"
1452,"
            Macrame bookmark
        ",2.82,2.82,"
                    (34)
                ","
    Etsy’s Pick
"
1453,"
            Personalised Journal, Initial Notebook, Pink Notebook, A5 Notebook Custom Name, Faux Leather Notebook, Personalised Stationary,
        ",14.58,14.58,"
                    (38,166)
                ","
    Etsy’s Pick
"
1454,"
            Personalised Name Bookmark - Acrylic Bookmark - Book Lover Gift - Custom Bookmark With Tassel - Reading Gift - Custom Name Bookmark
        ",11.30,11.30,"
                    (6,350)
                ","
    Etsy’s Pick
"
1455,"
            A5 notebook cover,Personalized notebook cover,Personalized refillable journal,Refillable a5 journal,Leather travel journal
        ",38.37,53.29,"
                    (929)
                ",No badge
1456,"
            TODAY - 3-year reflection journal for mindfulness/reflection and journaling/ personalised gift
        ",31.90,31.90,"
                    (5,131)
                ","
    Etsy’s Pick
"
1457,"
            Manifest Your Boss Life Journal
        ",20.00,20.00,0,No badge
1458,"
            Spiral notebook for Valentines Day, gift for her, anniversary gift, love
        ",20.60,20.60,0,No badge
1459,"
            Funny ""Motivational"" Mountain Landscape Journal - Profanity Quote Hardcover Notebook
        ",19.92,19.92,0,No badge
1460,"
            Vintage Recipe Book for your personal recipes, Spiral Hardcover A5 6x8 or 8x11 Inch Size  Gift Idea
        ",24.99,24.99,"
                    (7)
                ",No badge
1461,"
            Map Bookmark with Custom Map Personalized Friendship Gifts Custom Map Bookmark Personalized Book Mark Metal Bookmark
        ",19.94,19.94,"
                    (3,985)
                ","
    Etsy’s Pick
"
1462,"
            Hand  Marbled Notebook, ruled notebook, Journals and Notebooks, Dream Journal, Travel Journal for Men and Women, Hard Cover Notebook
        ",41.47,51.83,"
                    (618)
                ",No badge
1463,"
            Libreta ""Abuela, Cuéntame sobre ti"" - regalo perfecto para nuestras abuelas de cumple o Dia de las Madres
        ",13.59,16.99,"
                    (5)
                ",No badge
1464,"
            2-year calendar WALL CALENDAR 2024 and 2025, usable for 24 months, A1 year planner, half-years can be separated, Christmas gift, sperlingb
        ",22.56,22.56,"
                    (1,462)
                ","
    Etsy’s Pick
"
1465,"
            A5 diary 2024 - 365 good days | A5 mindfulness daily planner and notebook | Softcover Pocket Diary & Appointment Planner | Blue
        ",15.86,15.86,"
                    (7,704)
                ","
    Etsy’s Pick
"
1466,"
            Best Friend Personalized Bookish Gift Unique Desig Dragonfly Bookmark, Fun Present for a Bestie Book Lover, Eco Friendly Packaging
        ",22.99,22.99,"
                    (1,296)
                ","
    Etsy’s Pick
"
1467,"
            ICONEO calendar 2024 / 12 creative illustrations for an inspiring new year / A3
        ",25.42,33.90,"
                    (617)
                ",No badge
1468,"
            Moleskine leather cover xl,Pocket moleskine cover,Refillable journal notebook,Moleskine cahier cover,Personalized refillable journal
        ",32.65,45.35,"
                    (929)
                ",No badge
1469,"
            Vintage Handmade Leather Journal, Antique Handmade Leather Bound Journal with Deckle Edge Paper, Leather Sketchbook Gift Valentines Day Gift
        ",31.00,124.00,"
                    (215)
                ",No badge
1470,"
            Trombone mouthpiece case,Euphonium mouthpiece holder,Leather mouthpiece case,Leather mouthpiece pouch,Leather musician gifts
        ",16.33,22.68,"
                    (929)
                ",No badge
1471,"
            Undercover Recycled Leather A5 Bug Journal Notebook
        ",29.90,29.90,"
                    (8,099)
                ","
    Etsy’s Pick
"
1472,"
            Love notebook to fill out and give as an ideal gift for Valentine's Day
        ",11.34,11.34,"
                    (709)
                ","
    Etsy’s Pick
"
1473,"
            Fantasy Journal, Spiral Notebook - Ruled Line
        ",24.99,24.99,"
                    (23)
                ",No badge
1474,"
            A4 Notebook, 8x11 Notebook, Hardcover Notebook, Grid Notebook, Dotted Notebook, Campus Notebook, Clinical Notebook, Coding Notebook
        ",18.63,23.29,0,No badge
1475,"
            Bookmark, bookmarks, designed bookmark, aluminium bookmark, durable bookmark, custom bookmark, book, gift, gift for readers
        ",28.53,28.53,0,No badge
1476,"
            Watercolor Lilac Floral Cat Hardcover Journal, Lined Notebook, Cute Stationery, Home Office Gift, Birthday Present, Diary Writing Journal
        ",17.96,17.96,0,No badge
1477,"
            Frog Box Bookmark | Frog Art | Cute Bookmark | Double Printed | Cottagecore Book | Book Lovers | Toad Stationery | Reading Accessories
        ",3.39,3.39,"
                    (9,117)
                ","
    Etsy’s Pick
"
1478,"
            Zine - This Is Me, Rainbow, Powerful, Fashion, People
        ",7.64,7.64,"
                    (3,228)
                ","
    Etsy’s Pick
"
1479,"
            Kindle Cover Case, Paperwhite Sleeve Cover, Kindle Oasis Sleeve, Amazon Kindle Fire 7 -  Brown Herringbone and Flowers
        ",30.95,42.99,"
                    (14,389)
                ",No badge
1480,"
            Wall calendar 2024 large, calendar poster 2024, annual calendar 2024 wall, A1 2-part, with matching sticky notes, office calendar, project planner
        ",25.96,25.96,"
                    (1,462)
                ","
    Etsy’s Pick
"
1481,"
            Adventure Notebooks: Collection of Three
        ",13.50,13.50,"
                    (860)
                ","
    Etsy’s Pick
"
1482,"
            Animal Coloring Book for Kids / Woodland Coloring Book / Seasons Activity Book / Coloring Pages
        ",7.97,7.97,"
                    (464)
                ","
    Etsy’s Pick
"
1483,"
            Personalized Gift, Wooden Recipe Book: Custom Engraved Cookbook, Perfect Kitchen Gift, Handwritten Recipe Notebook, Valentines Day Gift
        ",70.90,141.80,"
                    (14)
                ",No badge
1484,"
            Wooden Personalized Sketchbook Adventure Natural Wood Diary Traveler Notes Gift for Friend Gift for Her Gift for Husband
        ",29.75,42.50,"
                    (5,919)
                ",No badge
1485,"
            Embroidery Flowers Book Sleeve, Floral Book Protector, Padded Book Pouch, Embroidered Book Jacket, Book Lover Gift, Bookworm Gift, Book Bag
        ",27.21,27.21,"
                    (4,310)
                ","
    Etsy’s Pick
"
1486,"
            Cool Licorne Doorstop / Bookend. Rainbow Unicorn doorstop. flat packed. Choice of colour. girl doorstops. Animal doorstops. girls room decor
        ",25.57,25.57,"
                    (2,138)
                ","
    Etsy’s Pick
"
1487,"
            Personalizable Leather Agendacase, Business, Work Gifts For Christmas, Gift For Principal,Journal Cover, A5 Leather Cover binder notebook
        ",80.00,80.00,"
                    (32)
                ","
    Etsy’s Pick
"
1488,"
            Bluerain: Vintage Gothic Bronzing Cover Personalized Notebook Literature Gift Journal
        ",32.70,43.59,"
                    (241)
                ",No badge
1489,"
            God Didn’t Put You Here To Be Average Journal
        ",20.00,20.00,0,No badge
1490,"
            Meaning from the Moments: A 30-day devotional
        ",12.00,12.00,0,No badge
1491,"
            Blind Date with a Book Bundle
        ",29.99,29.99,"
                    (5)
                ",No badge
1492,"
            PERSONALIZED VALENTINES Spiral NOTEBOOK Ruled Line Pages | Valentines Day Notebook For Girlfriend | Custom Photo Journal For Couples
        ",22.84,22.84,"
                    (1,565)
                ",No badge
1493,"
            Eddie the Seagull Doorstop / Bookend -DIY flat packed-Funny doorstop-Coastal decor-House warming-beach life-unique gift-birds-grey-white
        ",30.05,30.05,"
                    (2,138)
                ","
    Etsy’s Pick
"
1494,"
            Bluerain: Vintage velvet imprinted handmade cloth book Personalised notebooks Handwritten notebooks Literary gifts
        ",34.88,46.50,"
                    (241)
                ",No badge
1495,"
            Bluerain: Vintage exquisite note book, Excerpt book, Handbook
        ",48.10,64.13,"
                    (241)
                ",No badge
1496,"
            Custom Handwritten Calligraphy page - Love Letter - Wedding Vows - Letter - Lyrics- Anything- on Handmade Paper- Anniversary Gift
        ",70.00,70.00,"
                    (1,493)
                ","
    Etsy’s Pick
"
1497,"
            Christmas paper clip; Santa Hat planner clip;Planner accessorie; Felt bookmark; Stocking stuffers; Gift under 5; Gift for readers.
        ",7.37,7.37,"
                    (643)
                ","
    Etsy’s Pick
"
1498,"
            Jack O' Lantern clip, Bookmark, Gift for readers, Halloween, Planner accessories, Trick or Treat bag, The pumpkin king, Spooky bookmark.
        ",7.37,7.37,"
                    (643)
                ","
    Etsy’s Pick
"
1499,"
            Hardcover Spiral Journal — Blue Pineapple
        ",14.95,14.95,"
                    (988)
                ","
    Etsy’s Pick
"
1500,"
            Botanical Bookmarks with Winter Illustrations
        ",11.96,11.96,"
                    (486)
                ","
    Etsy’s Pick
"
1501,"
            digital tropical pineapple, adult colouring
        ",1.85,1.85,"
                    (869)
                ","
    Etsy’s Pick
"
1502,"
            Firework Ghosts Duo Large Reusable Sticker Book!
        ",20.00,20.00,"
                    (44,767)
                ","
    Etsy’s Pick
"
1503,"
            Handmade address book with gold bee personalised
        ",39.87,39.87,"
                    (8,099)
                ","
    Etsy’s Pick
"
1504,"
            The Engineer Caddy ~ Made in USA
        ",84.00,84.00,"
                    (2,259)
                ","
    Etsy’s Pick
"
1505,"
            PERSONALIZED NIV Bible - Tan - All My Life You Have Been Faithful - Add Your Name - Custom
        ",72.00,90.00,"
                    (4,782)
                ",No badge
1506,"
            Giant 2024 Wall Calendar | 2024 Large Wall Planner | Annual Planner | Yearly Planner | Monthly Planner | 2024 Planner (Vertical / Orange)
        ",28.00,28.00,"
                    (1,475)
                ",No badge
1507,"
            Personalized DRUMSTICKS Custom Engraved Drum Sticks Valentines Gifts for Him Dad Boyfriend Gift for Men Man Drummer Musician Band Retirement
        ",19.99,26.65,"
                    (35,146)
                ",No badge
1508,"
            Book Lover Bookmark - Hand Stamped Floral Book Mark
        ",18.00,18.00,"
                    (2,219)
                ",No badge
1509,"
            Korg Volca 3-tier Wooden Stand with Cable Management / volca synthesizer/ synthesizer stand
        ",75.00,75.00,"
                    (858)
                ","
    Etsy’s Pick
"
1510,"
            The Memories We Make Personalized Couples Journal & Scrapbook Memory Book | Wedding Engagement Anniversary Love Letters Valentine's Day Gift
        ",20.00,20.00,"
                    (4,733)
                ","
    Etsy’s Pick
"
1511,"
            Small Nature Notebook, blank journal, small sketchbook, Dandelion book recycled paper, blank notebook, pocket sketch book, small journal
        ",10.00,10.00,"
                    (7,115)
                ","
    Etsy’s Pick
"
1512,"
            My Hajj Journal, A5 Hajj Notebook Zellige Islamic Book - NB22
        ",5.32,5.32,"
                    (3,563)
                ","
    Etsy’s Pick
"
1513,"
            Hades/Persephone Bookmark, Black Velvet Ribbon Bookmark, Mythology Bookmark, Bookish Merch, Bookmark, Bookish Gift, Hades, Persephone
        ",12.50,12.50,"
                    (968)
                ","
    Etsy’s Pick
"
1514,"
            12"" Custom Vinyl Wedding Record - Your Special Music Mixtape on Vinyl. Send Us Photos then We Will Design Your Cover & Sticker Art Work!
        ",119.00,119.00,"
                    (5,839)
                ","
    Etsy’s Pick
"
1515,"
            prayer journal, travel journal, writing journal, sketchbook journal, lined journal, lined notebook, notebook journal, geometric journal
        ",10.00,10.00,"
                    (761)
                ","
    Etsy’s Pick
"
1516,"
            Custom Engraved Wooden Guitar Pick with Holder Box | Men Valentines Gift  | Personalized Guitar Picks| Guitarist Gift for Him
        ",6.00,12.00,"
                    (5,501)
                ",No badge
1517,"
            Sketchbook for Kids
        ",12.00,12.00,"
                    (4,542)
                ","
    Etsy’s Pick
"
1518,"
            Custom Leather Ring Pouch, Rustic Wedding, Gifts, Personalized
        ",22.52,22.52,"
                    (2,459)
                ","
    Etsy’s Pick
"
1519,"
            Personalized Recipe Journal Flowers Pattern Blank Recipe Book Binder Gift for Mother Kitchen Cookbook Birthday Gift for Wife Wooden Journal
        ",18.42,30.70,"
                    (3,234)
                ",No badge
1520,"
            Unicorn Mini Notepad with real birch wood covers - jotter - small notebook - j1935
        ",8.44,11.25,"
                    (3,378)
                ",No badge
1521,"
            Christening Gift Book | A Very Special Personalised Book of Daily Blessings Especially Made for a Child's Christening Day
        ",48.78,48.78,"
                    (6,062)
                ",No badge
1522,"
            Hardcover Journal Matte
        ",14.80,14.80,0,No badge
1523,"
            Bridal Gift Tracker | Gift Log Book | Bridal Shower | Wedding Day Gift Log
        ",20.00,20.00,"
                    (271)
                ",No badge
1524,"
            Personalized Fairytale Story Book First Babies Christmas Gifts Xmas Eve Box Fillers Stockings For Girls Boys Kids Presents Ideas Books Gift
        ",28.65,35.82,"
                    (16,951)
                ",No badge
1525,"
            Feather Leather Bookmark | Horror Goth Black Crow Realistic Feather Bookmark | Unique Gift for Book Lover | Spooky Raven Bookmark
        ",11.00,11.00,"
                    (1,036)
                ","
    Etsy’s Pick
"
1526,"
            Mini Leather Journal - Pick Your Own - Rainbow Colours - A7 Blank or Lined Handbound Pocket Note Book - 4 x 3
        ",15.95,15.95,"
                    (1,676)
                ","
    Etsy’s Pick
"
1527,"
            Chinoiserie brocade fabric covered journal notebook hardcover diary sketchbook writing journal
        ",29.99,29.99,"
                    (76)
                ","
    Etsy’s Pick
"
1528,"
            Love Story Quote Leather Bookmark | 3rd Anniversary Gift | Husband and Wife Gift | Wedding Small Present | Valentine's Day Gift
        ",11.00,11.00,"
                    (16,172)
                ","
    Etsy’s Pick
"
1529,"
            Personalized Leather Pocket Journal with Professional Elastic Closure | Travel Journal | Valentine's Day Gift | Customized with Text
        ",19.00,19.00,"
                    (16,172)
                ","
    Etsy’s Pick
"
1530,"
            Personalized Cherry Wood Notebook | 5"" x 8"" Notebook | Wooden Journal | USA Made Wholesale Gifts | Custom | Autumn Woods Co Corporate Gifts
        ",50.00,50.00,"
                    (2,797)
                ","
    Etsy’s Pick
"
1531,"
            Blue Bird Illustration Notebook - Journal - Sketchbook - Blank pages - Lined pages
        ",10.99,10.99,"
                    (890)
                ","
    Etsy’s Pick
"
1532,"
            Mushroom Bookmark, Cottagecore Crochet Bookmark, Gifts for Book Lovers
        ",9.00,9.00,"
                    (120)
                ","
    Etsy’s Pick
"
1533,"
            Gift for the guitarist Wood Guitar pick with box, personalized gift with a name Perfect gift for a guitarist or musician Personalized Custom
        ",36.11,55.55,"
                    (2,262)
                ",No badge
1534,"
            Foraging A6 field journal, 120gsm white paper, foraging journal, foraging notebook, mushroom notebook, mushroom journal, forestcore
        ",25.50,25.50,"
                    (8,948)
                ","
    Etsy’s Pick
"
1535,"
            Atlas Travel Journal
        ",39.95,39.95,"
                    (313)
                ","
    Etsy’s Pick
"
1536,"
            Cloudy Night Coil Notebook / Moon Coil Bound Notepad / Lined or Blank Spiral Journal
        ",22.00,22.00,"
                    (534)
                ","
    Etsy’s Pick
"
1537,"
            A4 Notebook, 8x11 Notebook, Hardcover Notebook, Surfing Notebook, Grid Notebook, Dotted Notebook, A4 Journal, Hawaii Notebook, HR Notebook
        ",18.63,23.29,0,No badge
1538,"
            Bookmark, bookmarks, designed bookmark, aluminium bookmark, durable bookmark, custom bookmark, book, gift, gift for readers
        ",10.56,28.53,0,No badge
1539,"
            PERSONALIZED VALENTINES Hardcover NOTEBOOK | Custom Photo Journal Gift For Couples | Minimalist Matte Notebook For Girlfriend
        ",21.20,21.20,"
                    (1,565)
                ",No badge
1540,"
            Hardcover Journal Matte
        ",14.80,14.80,0,No badge
1541,"
            The Grimoire - B6 notebook, lined notebook, 120gsm ivory paper - gold or silver foil, witchy notebook, dark academia, cottagecore, vegan
        ",25.50,25.50,"
                    (8,948)
                ","
    Etsy’s Pick
"
1542,"
            The Botanist - B6 sketchbook, watercolor notebook, 300gsm, botanical notebook, linen notebook, watercolor notebook, dark academia, vegan
        ",25.50,25.50,"
                    (8,948)
                ","
    Etsy’s Pick
"
